cryid;idlay;idcol;xpos;ypos;
568;20;1;-583.1;68.6;
569;21;1;-566.0;102.9;
570;22;2;-548.8;137.2;
571;23;2;-531.7;171.5;
572;24;2;-514.5;205.8;
573;25;2;-497.4;240.1;
574;26;2;-480.2;274.4;
575;27;2;-463.0;308.7;
576;28;2;-445.9;343.0;
577;29;2;-428.8;377.3;
578;30;2;-411.6;411.6;
579;31;1;-394.5;445.9;
580;32;1;-377.3;480.2;
581;33;0;-360.1;514.5;
582;32;24;411.6;480.2;
583;31;25;428.8;445.9;
584;30;27;445.9;411.6;
585;29;22;463.0;377.3;
586;28;18;480.2;343.0;
587;27;16;497.4;308.7;
588;26;14;514.5;274.4;
589;25;14;531.7;240.1;
590;24;14;548.8;205.8;
591;23;14;566.0;171.5;
592;22;14;583.1;137.2;
593;21;13;600.2;102.9;
594;20;13;617.4;68.6;
595;19;15;634.5;34.3;
596;17;15;634.5;-34.3;
597;16;13;617.4;-68.6;
598;15;13;600.2;-102.9;
599;14;14;583.1;-137.2;
600;13;14;566.0;-171.5;
601;12;14;548.8;-205.8;
602;11;14;531.7;-240.1;
603;10;14;514.5;-274.4;
604;9;16;497.4;-308.7;
605;8;18;480.2;-343.0;
606;7;22;463.0;-377.3;
607;6;27;445.9;-411.6;
608;5;25;428.8;-445.9;
609;4;24;411.6;-480.2;
610;4;0;-411.6;-480.2;
611;5;0;-428.8;-445.9;
612;6;1;-445.9;-411.6;
613;7;1;-463.0;-377.3;
614;8;1;-480.2;-343.0;
615;9;1;-497.4;-308.7;
616;10;1;-514.5;-274.4;
617;11;1;-531.7;-240.1;
618;12;1;-548.8;-205.8;
619;13;1;-566.0;-171.5;
620;14;1;-583.1;-137.2;
621;15;0;-600.2;-102.9;
622;16;0;-617.4;-68.6;
623;17;0;-634.5;-34.3;
624;19;0;-634.5;34.3;
625;20;0;-617.4;68.6;
626;21;0;-600.2;102.9;
627;22;1;-583.1;137.2;
628;23;1;-566.0;171.5;
629;24;1;-548.8;205.8;
630;25;1;-531.7;240.1;
631;26;1;-514.5;274.4;
632;27;1;-497.4;308.7;
633;28;1;-480.2;343.0;
634;29;1;-463.0;377.3;
635;30;1;-445.9;411.6;
636;31;0;-428.8;445.9;
637;32;0;-411.6;480.2;
638;30;28;480.2;411.6;
639;29;23;497.4;377.3;
640;28;19;514.5;343.0;
641;27;17;531.7;308.7;
642;26;15;548.8;274.4;
643;25;15;566.0;240.1;
644;24;15;583.1;205.8;
645;23;15;600.2;171.5;
646;22;15;617.4;137.2;
647;14;15;617.4;-137.2;
648;13;15;600.2;-171.5;
649;12;15;583.1;-205.8;
650;11;15;566.0;-240.1;
651;10;15;548.8;-274.4;
652;9;17;531.7;-308.7;
653;8;19;514.5;-343.0;
654;7;23;497.4;-377.3;
655;6;28;480.2;-411.6;
656;6;0;-480.2;-411.6;
657;7;0;-497.4;-377.3;
658;8;0;-514.5;-343.0;
659;9;0;-531.7;-308.7;
660;10;0;-548.8;-274.4;
661;11;0;-566.0;-240.1;
662;12;0;-583.1;-205.8;
663;13;0;-600.2;-171.5;
664;14;0;-617.4;-137.2;
665;22;0;-617.4;137.2;
666;23;0;-600.2;171.5;
667;24;0;-583.1;205.8;
668;25;0;-566.0;240.1;
669;26;0;-548.8;274.4;
670;27;0;-531.7;308.7;
671;28;0;-514.5;343.0;
672;29;0;-497.4;377.3;
673;30;0;-480.2;411.6;
